"card_slug","card_name","issuer","rank","picking_rate_percent","monthly_saving","previous_spend","monthly_cap","rule_count","tier_count","has_external_benchmark","risk_score","priority","risk_signals","source_url","search_queries"
"naver-card-2886","신한카드 Deep Making","신한","226","0.357","2500","400000","5000","1","1","false","28","P2","estimated_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1188286_2207.html?EntryLoc2=2932&empSeq=501&btnApp=V0M1K3C4&utm_source=naver_credit&utm_medium=cpc&utm_campaign=online_mobile_deepmaking","신한카드 Deep Making 피킹률 | 신한카드 Deep Making 실제 혜택 | 신한 신한카드 Deep Making 카드 추천"
"naver-card-10549","DB손해보험 현대카드","현대","227","0.357","2500","500000","17000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MDBI&eventCode=DBI1U","DB손해보험 현대카드 피킹률 | DB손해보험 현대카드 실제 혜택 | 현대 DB손해보험 현대카드 카드 추천"
"naver-card-10458","현대카드 이마트 e카드 Plus","현대","228","0.357","2500","500000","5000","10","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardflag=RC&cardWcd=EMTE3S","현대카드 이마트 e카드 Plus 피킹률 | 현대카드 이마트 e카드 Plus 실제 혜택 | 현대 현대카드 이마트 e카드 Plus 카드 추천"
"naver-card-10546","현대해상 현대카드","현대","229","0.357","2500","500000","17000","2","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MHMFI","현대해상 현대카드 피킹률 | 현대해상 현대카드 실제 혜택 | 현대 현대해상 현대카드 카드 추천"
"naver-card-3756","신한카드 MY CAR","신한","230","0.333","2330","400000","10000","5","1","false","28","P2","estimated_rule | not_officially_verified","https://www.shinhancard.com/pconts/html/card/apply/credit/1197177_2207.html?EntryLoc2=4357&empSeq=505&btnApp=E0J1R3E4K&utm_source=naver%5Fcredit&utm_medium=cpc&utm_campaign=online%5Fmobile%5Fmycar","신한카드 MY CAR 피킹률 | 신한카드 MY CAR 실제 혜택 | 신한 신한카드 MY CAR 카드 추천"
"naver-card-10428","LOCA X 기후동행카드","롯데","231","0.327","2292","300000","15000","10","3","false","28","P2","estimated_rule | not_officially_verified","https://m.lottecard.co.kr/spa/card/booth?bId=96054&vtCdKndC=P15638-A15638&npayUseYn=Y&utm_source=sa_naver_cs&utm_medium=cpc&utm_campaign=m_card_application&utm_content=traffic_01&utm_term=신용카드","LOCA X 기후동행카드 피킹률 | LOCA X 기후동행카드 실제 혜택 | 롯데 LOCA X 기후동행카드 카드 추천"
"naver-card-10187","zgm.the pay카드","NH농협","232","0.313","2190","0","100000","2","1","false","63","P1","estimated_rule | single_tier_high_cap | monthly_cap_outlier | not_officially_verified","https://card.nonghyup.com/index_cardProd.html?SERVICE_ID=IPCC2021R&NAVIGATE_TYPE=1&cd_wrs_sqno=90010178&FromSite=53","zgm.the pay카드 피킹률 | zgm.the pay카드 실제 혜택 | NH농협 zgm.the pay카드 카드 추천"
"naver-card-10478","KB국민 올라운드카드","KB국민","233","0.313","2190","400000","5000","3","1","false","8","P3","not_officially_verified","https://kbcard-ad.com/mo/allround/html/?solicitorcode=7308000001&utm_source=mnaver_platform&utm_medium=cpc&utm_campaign=allround_card&utm_content=non&utm_term=260417","KB국민 올라운드카드 피킹률 | KB국민 올라운드카드 실제 혜택 | KB국민 KB국민 올라운드카드 카드 추천"
"naver-card-10450","IBK 포인트 3.8 신용카드","IBK기업은행","234","0.274","1917","500000","5000","3","1","false","28","P2","estimated_rule | not_officially_verified","https://www.ibk.co.kr/cardbiz/detailBizNew.ibk?&pageId=&PDLN_CD=12&PDGR_CD=11&PDTM_CD=347&PDCD=0003&ad_cd=nvmo&mz_cd=ADGROUN","IBK 포인트 3.8 신용카드 피킹률 | IBK 포인트 3.8 신용카드 실제 혜택 | IBK기업은행 IBK 포인트 3.8 신용카드 카드 추천"
"naver-card-10530","현대카드H","현대","235","0.250","1750","400000","5000","1","1","false","28","P2","estimated_rule | not_officially_verified","https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=HCH&eventCode=ANB21","현대카드H 피킹률 | 현대카드H 실제 혜택 | 현대 현대카드H 카드 추천"
